Dentist_Id,Crown_Count,Filling_Count,Root_Canal_Count,Extract_Count,Per_Visit_Payment
1037,0,0,0,0,277.0928571
1041,0,0,0,0,145.1875
1046,0,3,0,0,460.9733333
1049,0,1,0,0,189
1166,5,139,0,1,385.6142322
1172,10,226,4,50,455.709863
1176,0,0,0,0,681.2
1186,0,0,0,0,251.55
1201,1,27,0,0,597.4372093
1202,3,15,0,3,390.177551
1217,0,4,0,0,341
1247,121,706,67,44,547.6837209
1252,26,175,0,12,325.2588015
1253,2,11,0,2,275.3416667
1261,7,28,0,0,107.0454167
1262,3,25,0,0,112.244
1347,2,27,0,2,335.1533333
1364,0,0,0,0,70
1397,0,0,0,0,291.773913
1410,0,1,0,0,278.4
1412,0,1,0,0,948.5
1425,0,0,0,0,79.5
1426,0,0,0,0,376
1427,0,0,0,3,0
1439,0,2,0,0,465
1445,0,0,0,0,476.8
1451,0,1,0,0,245.75
1455,0,0,0,0,1000
1457,0,0,0,0,175
1484,1,2,0,1,388.9
1489,0,0,0,0,2062.5
1490,0,5,0,0,153.7571429
1512,0,0,0,0,387.8670455
1513,23,309,13,61,431.5863229
1515,0,7,0,2,340.9307692
1516,42,534,19,64,371.4293253
1518,24,403,8,34,292.344426
1530,0,1,0,0,298.3333333
1581,0,1,0,2,112.48
1625,0,0,0,0,532.9809524
1672,1,19,2,0,212.6432692
1789,0,0,0,0,116
1832,0,0,0,0,207
1866,0,0,0,3,411.8647059
1894,0,0,0,0,89.6
1902,0,6,0,0,157.4
1917,32,290,9,9,192.2751511
1922,0,0,0,0,971.38
1934,0,0,0,1,81.6
1983,7,22,1,0,142.0532609
1986,0,0,0,0,153
2008,1,1,0,0,756.4
2009,1,1,0,0,711.6
2074,0,4,0,0,591
2088,0,0,0,0,208
2093,4,18,1,16,265.7560976
2095,2,80,4,0,288.4668539
2107,19,38,1,1,131.2717391
2108,0,6,0,1,253.5
2110,0,1,0,0,208.1
2142,0,1,0,0,197.2
2144,0,0,0,0,1140.5
2149,0,0,0,0,145.675
2154,29,88,5,2,182.9089372
2176,0,0,0,0,120
2186,1,1,0,0,178.125
2200,12,26,0,1,165.9457364
2205,0,0,0,0,145
2216,0,0,0,0,1062.85
2218,10,24,9,0,163.0496503
2222,0,1,0,0,115.2
2230,0,0,0,0,64.8
2240,4,10,2,14,294.2115385
2241,6,14,0,0,382.7178571
2314,0,0,0,0,297
2321,0,0,0,0,343
2332,0,1,0,0,777.5
2346,0,3,0,0,78.56363636
2363,0,0,0,0,1560.8
2364,1,9,2,0,187.7111111
2366,0,5,0,0,990.4
2385,0,0,0,0,140
2454,6,1,1,1,432.7125
2507,4,33,4,2,205.4109756
2509,3,170,3,12,228.6519481
2520,0,5,0,0,215.5526316
2525,0,3,0,0,229.1666667
2527,0,0,0,0,220
